日期,淨值,漲跌幅(%)
2022/10/13,7.4500,-1.32
2022/10/12,7.5500,0
2022/10/11,7.5500,-1.95
2022/10/07,7.7000,-1.53
2022/10/06,7.8200,0.51
2022/10/05,7.7800,0.13
2022/10/04,7.7700,2.51
2022/10/03,7.5800,-0.13
2022/09/30,7.5900,-0.13
2022/09/29,7.6000,-0.13
2022/09/28,7.6100,-0.78
2022/09/27,7.6700,0
2022/09/26,7.6700,-0.26
2022/09/23,7.6900,-1.66
2022/09/22,7.8200,-1.51
2022/09/21,7.9400,0
2022/09/20,7.9400,-0.13
2022/09/19,7.9500,0.13
2022/09/16,7.9400,-1.98
2022/09/15,8.1000,-0.49
2022/09/14,8.1400,-0.97
2022/09/13,8.2200,-1.44
2022/09/12,8.3400,1.09
2022/09/09,8.2500,1.35
2022/09/08,8.1400,0.99
2022/09/07,8.0600,0
2022/09/06,8.0600,-0.62
2022/09/02,8.1100,0.5
2022/09/01,8.0700,-1.34
2022/08/31,8.1800,-0.49
2022/08/30,8.2200,-0.12
2022/08/29,8.2300,-2.02
2022/08/26,8.4000,0.36
2022/08/25,8.3700,0.36
2022/08/24,8.3400,0.12
2022/08/23,8.3300,-0.24
2022/08/22,8.3500,-1.18
2022/08/19,8.4500,-0.59
2022/08/18,8.5000,-0.12
2022/08/17,8.5100,-0.58
2022/08/16,8.5600,-0.12
2022/08/12,8.5700,-0.23
2022/08/11,8.5900,1.06
2022/08/10,8.5000,0.95
2022/08/09,8.4200,-1.06
2022/08/08,8.5100,0.95
2022/08/05,8.4300,-0.24
2022/08/04,8.4500,0.6
2022/08/03,8.4000,0.48
2022/08/02,8.3600,0
2022/08/01,8.3600,0.48
2022/07/29,8.3200,1.34
2022/07/28,8.2100,0.86
2022/07/27,8.1400,0.25
2022/07/26,8.1200,-0.49
2022/07/25,8.1600,-0.24
2022/07/22,8.1800,0.62
2022/07/21,8.1300,0.87
2022/07/20,8.0600,1
2022/07/19,7.9800,-0.13
2022/07/18,7.9900,1.4
2022/07/15,7.8800,0.25
2022/07/14,7.8600,-0.76
2022/07/13,7.9200,-0.75
2022/07/12,7.9800,-0.25
2022/07/11,8.0000,-0.12
2022/07/08,8.0100,0
2022/07/07,8.0100,0.88
2022/07/06,7.9400,1.15
2022/07/05,7.8500,-0.51
2022/07/01,7.8900,0.77
2022/06/30,7.8300,-1.39
2022/06/29,7.9400,-1.85
2022/06/28,8.0900,0.37
2022/06/27,8.0600,0.62
2022/06/24,8.0100,1.52
2022/06/22,7.8900,-0.13
2022/06/21,7.9000,0.89
2022/06/17,7.8300,-0.25
2022/06/16,7.8500,-1.26
2022/06/15,7.9500,-0.5
2022/06/14,7.9900,-1.24
2022/06/13,8.0900,-2.65
2022/06/10,8.3100,-2.24
2022/06/09,8.5000,-0.7
2022/06/08,8.5600,0.71
2022/06/07,8.5000,-0.58
2022/06/03,8.5500,0.47
2022/06/02,8.5100,-0.7
2022/06/01,8.5700,0.47
2022/05/31,8.5300,0.35
2022/05/27,8.5000,3.53
2022/05/25,8.2100,0.61
2022/05/24,8.1600,-0.37
2022/05/23,8.1900,-0.36
2022/05/20,8.2200,0.86
2022/05/19,8.1500,-1.57
2022/05/18,8.2800,-0.6
2022/05/17,8.3300,0.73
2022/05/16,8.2700,-0.6
2022/05/13,8.3200,1.71
2022/05/12,8.1800,-2.04
2022/05/11,8.3500,-0.36
2022/05/10,8.3800,-1.53
2022/05/06,8.5100,-2.74
2022/05/05,8.7500,0.81
2022/05/04,8.6800,-0.23
2022/05/03,8.7000,0.23
2022/05/02,8.6800,-1.81
2022/04/29,8.8400,0.8
2022/04/28,8.7700,-0.34
2022/04/27,8.8000,-0.23
2022/04/26,8.8200,0.34
2022/04/25,8.7900,-1.79
2022/04/22,8.9500,-2.19
2022/04/21,9.1500,0.55
2022/04/20,9.1000,0.33
2022/04/19,9.0700,-1.2
2022/04/14,9.1800,0.44
2022/04/13,9.1400,-0.65
2022/04/12,9.2000,0.33
2022/04/11,9.1700,-0.65
2022/04/08,9.2300,-0.43
2022/04/07,9.2700,0.11
2022/04/06,9.2600,-2.22
2022/04/05,9.4700,0.21
2022/04/04,9.4500,0.32
2022/04/01,9.4200,-0.53
2022/03/31,9.4700,-0.21
2022/03/30,9.4900,0.21
2022/03/29,9.4700,0.85
2022/03/28,9.3900,0.21
2022/03/25,9.3700,0.64
2022/03/24,9.3100,-0.21
2022/03/23,9.3300,-0.21
2022/03/22,9.3500,0.54
2022/03/21,9.3000,0.43
2022/03/18,9.2600,1.09
2022/03/17,9.1600,0.55
2022/03/16,9.1100,1.79
2022/03/15,8.9500,-1.21
2022/03/14,9.0600,-0.88
2022/03/11,9.1400,0
2022/03/10,9.1400,0.11
2022/03/09,9.1300,0.88
2022/03/08,9.0500,-1.74
2022/03/07,9.2100,-0.75
2022/03/04,9.2800,-1.07
2022/03/03,9.3800,0.32
2022/03/02,9.3500,-0.21
2022/03/01,9.3700,0.43
2022/02/28,9.3300,0.86
2022/02/25,9.2500,2.21
2022/02/24,9.0500,-2.27
2022/02/23,9.2600,-0.43
2022/02/22,9.3000,-0.64
2022/02/18,9.3600,-0.64
2022/02/17,9.4200,-0.11
2022/02/16,9.4300,-0.11
2022/02/15,9.4400,-0.32
2022/02/14,9.4700,-1.35
2022/02/11,9.6000,-0.93
2022/02/10,9.6900,0.1
2022/02/09,9.6800,1.57
2022/02/08,9.5300,-0.73
2022/02/07,9.6000,0.73
2022/02/04,9.5300,-0.52
2022/02/03,9.5800,-1.03
2022/02/02,9.6800,0.83
2022/02/01,9.6000,1.05
2022/01/31,9.5000,2.15
2022/01/28,9.3000,-2
2022/01/27,9.4900,-0.42
2022/01/26,9.5300,1.49
2022/01/25,9.3900,0.21
2022/01/24,9.3700,-2.19
2022/01/21,9.5800,-1.94
2022/01/20,9.7700,-0.31
2022/01/19,9.8000,0.1
2022/01/18,9.7900,-1.61
2022/01/14,9.9500,-1.29
2022/01/13,10.0800,-0.1
2022/01/12,10.0900,1.31
2022/01/11,9.9600,1.01
2022/01/10,9.8600,-1.99
2022/01/07,10.0600,0.3
2022/01/06,10.0300,-1.76
2022/01/05,10.2100,-0.78
2022/01/04,10.2900,0.29
2022/01/03,10.2600,-0.48
2021/12/31,10.3100,-0.19
2021/12/30,10.3300,0.29
2021/12/29,10.3000,-0.58
2021/12/28,10.3600,0.58
2021/12/27,10.3000,0.49
2021/12/23,10.2500,0.79
2021/12/22,10.1700,1.19
2021/12/21,10.0500,0.6
2021/12/20,9.9900,-0.4
2021/12/17,10.0300,-1.38
2021/12/16,10.1700,1.19
2021/12/15,10.0500,-0.99
2021/12/14,10.1500,-1.17
2021/12/13,10.2700,0
2021/12/10,10.2700,-0.39
2021/12/09,10.3100,0.1
2021/12/08,10.3000,0.29
2021/12/07,10.2700,2.09
2021/12/06,10.0600,-0.49
2021/12/03,10.1100,-0.39
2021/12/02,10.1500,-1.17
2021/12/01,10.2700,-0.39
2021/11/30,10.3100,0.1
2021/11/29,10.3000,0.1
2021/11/26,10.2900,-0.1
2021/11/24,10.3000,-0.87
2021/11/23,10.3900,-0.95
2021/11/22,10.4900,0
2021/11/19,10.4900,0.1
2021/11/18,10.4800,0.1
2021/11/17,10.4700,0.1
2021/11/16,10.4600,-0.19
2021/11/15,10.4800,-0.19
2021/11/12,10.5000,-0.47
2021/11/10,10.5500,-0.09
2021/11/09,10.5600,-0.28
2021/11/08,10.5900,0.09
2021/11/05,10.5800,0.47
2021/11/04,10.5300,0.96
2021/11/03,10.4300,-0.1
2021/11/02,10.4400,0.68
2021/10/29,10.3700,0.19
2021/10/28,10.3500,-0.1
2021/10/27,10.3600,-0.1
2021/10/26,10.3700,0.58
2021/10/25,10.3100,0
2021/10/22,10.3100,0.19
2021/10/21,10.2900,0.1
2021/10/20,10.2800,0.19
2021/10/19,10.2600,0.59
2021/10/18,10.2000,0.1
2021/10/15,10.1900,-0.1
2021/10/14,10.2000,0.89
2021/10/13,10.1100,0.2
2021/10/12,10.0900,-0.59
2021/10/08,10.1500,-0.2
2021/10/07,10.1700,1.4
2021/10/06,10.0300,-0.3
2021/10/05,10.0600,-0.1
2021/10/04,10.0700,0.1
2021/10/01,10.0600,-0.59
2021/09/30,10.1200,-0.1
2021/09/29,10.1300,-0.3
2021/09/28,10.1600,-0.78
2021/09/27,10.2400,-0.1
2021/09/24,10.2500,-0.19
2021/09/23,10.2700,0.79
2021/09/22,10.1900,0.1
2021/09/21,10.1800,0.1
2021/09/20,10.1700,-1.07
2021/09/17,10.2800,0.19
2021/09/16,10.2600,0.2
2021/09/15,10.2400,-0.78
2021/09/14,10.3200,0.29
2021/09/13,10.2900,-0.87
2021/09/10,10.3800,0.1
2021/09/09,10.3700,-0.1
2021/09/08,10.3800,0
2021/09/07,10.3800,-0.1
2021/09/03,10.3900,0.1
2021/09/02,10.3800,0.19
2021/09/01,10.3600,0.19
2021/08/31,10.3400,-0.1
2021/08/30,10.3500,0.68
2021/08/27,10.2800,-0.1
2021/08/26,10.2900,0.19
2021/08/25,10.2700,0.29
2021/08/24,10.2400,0.59
2021/08/23,10.1800,0.89
2021/08/20,10.0900,0.4
2021/08/19,10.0500,-0.69
2021/08/18,10.1200,0.1
2021/08/17,10.1100,-0.39
2021/08/16,10.1500,-1.07
2021/08/13,10.2600,0.29
2021/08/12,10.2300,-0.29
2021/08/11,10.2600,-0.29
2021/08/10,10.2900,0.1
2021/08/09,10.2800,-0.29
2021/08/06,10.3100,0.1
2021/08/05,10.3000,0.19
2021/08/04,10.2800,0.29
2021/08/03,10.2500,-0.29
2021/08/02,10.2800,0
2021/07/30,10.2800,-0.19
2021/07/29,10.3000,0.39
2021/07/28,10.2600,0
2021/07/27,10.2600,-0.29
2021/07/26,10.2900,0.39
2021/07/23,10.2500,0.49
2021/07/22,10.2000,0.29
2021/07/21,10.1700,1.19
2021/07/20,10.0500,0.4
2021/07/19,10.0100,-1.48
2021/07/16,10.1600,-0.39
2021/07/15,10.2000,-1.26
2021/07/14,10.3300,0
2021/07/13,10.3300,0
2021/07/12,10.3300,0.39
2021/07/09,10.2900,0.68
2021/07/08,10.2200,-1.26
2021/07/07,10.3500,0.19
2021/07/06,10.3300,0.19
2021/07/02,10.3100,0.19
2021/07/01,10.2900,0.19
2021/06/30,10.2700,-0.19
2021/06/29,10.2900,0.29
2021/06/28,10.2600,0.2
2021/06/25,10.2400,0
2021/06/24,10.2400,1.09
2021/06/22,10.1300,0.5
2021/06/21,10.0800,-0.1
2021/06/18,10.0900,0
2021/06/17,10.0900,0
2021/06/16,10.0900,-0.2
2021/06/15,10.1100,-0.49
2021/06/14,10.1600,0.2
2021/06/11,10.1400,0.2
2021/06/10,10.1200,0.1
2021/06/09,10.1100,0.2
2021/06/08,10.0900,0.4
2021/06/07,10.0500,0
2021/06/04,10.0500,0.6
2021/06/03,9.9900,-0.6
2021/06/02,10.0500,-0.1
2021/06/01,10.0600,-0.1
2021/05/28,10.0700,0.6
2021/05/27,10.0100,0.1
2021/05/26,10.0000,0.2
2021/05/25,9.9800,0.4
2021/05/21,9.9400,0.71
2021/05/20,9.8700,1.33
2021/05/19,9.7400,-1.32
2021/05/18,9.8700,0.41
2021/05/17,9.8300,-0.41
2021/05/14,9.8700,-0.1
2021/05/12,9.8800,-0.3
2021/05/11,9.9100,-1
2021/05/10,10.0100,-0.69
2021/05/07,10.0800,0.8
2021/05/06,10.0000,-0.6
2021/05/05,10.0600,0.3
2021/05/04,10.0300,-1.28
2021/05/03,10.1600,-0.29
2021/04/30,10.1900,-0.39
2021/04/29,10.2300,0
2021/04/28,10.2300,0
2021/04/27,10.2300,0.29
2021/04/26,10.2000,0.59
2021/04/23,10.1400,0
2021/04/22,10.1400,0.7
2021/04/21,10.0700,-0.49
2021/04/20,10.1200,-0.59
2021/04/19,10.1800,0
2021/04/16,10.1800,0
2021/04/15,10.1800,-0.78
2021/04/14,10.2600,0.49
2021/04/13,10.2100,0.69
2021/04/12,10.1400,0
2021/04/09,10.1400,-0.1
